mesh_id,lon,lat,n_cases,risk_score
14056_03831,140.56458,38.31427,403,0.5883409874669009
14060_03831,140.60474,38.31076,114,0.6633575118845011
14060_03834,140.60747,38.34978,615,0.5792352128259298
14065_03827,140.65178,38.27467,2,
14065_03830,140.65024,38.30968,1,0.6
14065_03837,140.65877,38.37191,402,0.6151430724640667
14066_03826,140.66843,38.26719,692,0.6181626883260574
14066_03836,140.66962,38.36249307692307,104,0.6277426209446785
14067_03828,140.67889,38.28174,18,
14068_03829,140.68274,38.2979,43,
14068_03830,140.68269,38.30031999999999,221,
14068_03833,140.68654,38.33819,1,
14069_03823,140.69516,38.23844,29,
14069_03825,140.69859,38.25469,177,0.5674501827390039
14069_03828,140.69391,38.28633,10,
14069_03831,140.69264,38.31477,4,
14069_03834,140.69763,38.34291,11,0.5547183751748855
14070_03822,140.7063,38.229098,10,
14070_03823,140.70472586206895,38.234902758620684,29,
14071_03821,140.71774,38.21915,197,
14071_03822,140.7178263076923,38.2266023076923,195,
14071_03823,140.71587635135137,38.23113743243243,148,
14071_03824,140.71899,38.24884,9,
14071_03826,140.715199,38.266133,10,
14071_03827,140.71561846846845,38.274588648648646,111,0.6874877125093274
14071_03828,140.71455052401748,38.28259200873362,229,0.701322503014784
14071_03829,140.71179,38.29903,2,
14072_03821,140.72987,38.21662,86,
14072_03822,140.7247676330532,38.22585137254902,714,
14072_03823,140.72089888888888,38.23238555555556,18,
14072_03826,140.72294823529413,38.26568445378152,119,0.631452228133169
14072_03827,140.72599664233576,38.27410281021897,274,0.5864725580009866
14072_03828,140.7242193899204,38.28770180371353,377,0.7009315238894201
14072_03829,140.72562,38.29527,1,0.7
14072_03830,140.72514,38.30042,21,0.7003458412588621
14073_03820,140.73909,38.20724,1,0.7
14073_03821,140.73612333333332,38.219640416666664,24,
14073_03822,140.73376466307278,38.22219450134771,371,
14073_03823,140.73459,38.23303,9,
14073_03824,140.73654,38.24862,20,0.600328549195919
14073_03826,140.732538018018,38.2697245945946,111,0.591091316112931
14073_03827,140.73695541666666,38.272144958333335,240,0.5953828030434027
14073_03828,140.73774333333333,38.28577333333333,3,0.7333679174592195
14073_03829,140.73724,38.29086,1,
14073_03838,140.73311,38.38837,1145,0.549127098172854
14074_03820,140.74451,38.20721,4,0.6000518761888294
14074_03821,140.74743793650794,38.21451396825397,63,
14074_03822,140.74471,38.22053,3,
14074_03826,140.74525583333335,38.26851791666667,24,0.5670643841143581
14074_03827,140.74635832352942,38.272572911764705,680,0.5505648401501348
